name,image,availability,deckcode,type,subtype,rarity,attribute,class,cost,power,health,uses,ability,aactivate,activate,aassemble,assemble,banish,abattle,battle,beastform,abetray,betray,abreakthrough,breakthrough,change,acharge,charge,aconsume,consume,copy,acover,cover,adrain,drain,aempower,empower,aequip,equip,aexalt,exalt,aexpertise,expertise,aguard,guard,aheal,heal,ainvade,invade,alastgasp,lastgasp,alethal,lethal,amobilize,mobilize,amove,move,apilfer,pilfer,plot,aprophecy,prophecy,arally,rally,aregenerate,regenerate,asacrifice,sacrifice,ashackle,shackle,shout,asilence,silence,aslay,slay,steal,asummon,summon,transform,atreasurehunt,treasurehunt,uniqueability,unsummon,aveteran,veteran,award,ward,awaxwane,waxwane,awounded
Icy Shambles,LG-card-Icy Shambles.png,Isle of Madness,iB,Creature,Skeleton,Common,Intelligence,,4,2,3,,Shackle creatures damaged by Icy Shambles. Summon: Deal 2 damage to a creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,
Iliac Sorcerer,LG-card-Iliac Sorcerer.png,Core,iC,Creature,Breton,Epic,Endurance,,1,1,1,,"Ward When Iliac Sorcerer's Ward is broken, double his power.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Ill-Fated Scholar,LG-card-Ill-Fated Scholar.png,Moons of Elsweyr,wa,Creature,Redguard,Legendary,Neutral,,3,3,2,,"When Ill-Fated Scholar is Consumed, summon a 3/2 Insidious Spirit.",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illicit Butcher,LG-card-Illicit Butcher.png,Moons of Elsweyr,wN,Creature,Wood Elf,Common,Agility,,4,4,3,,Summon: Consume a creature to Shackle an enemy creature.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,
Illusory Defenses,LG-card-Illusory Defenses.png,Houses of Morrowind,iD,Action,,Common,Willpower,,1,,,,Prophecy Summon a 0/5 Illusory Wall with Guard in each lane. Sacrifice them at the start of your turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illusory Mimic,LG-card-Illusory Mimic.png,Madhouse Collection,iE,Creature,Spirit,Epic,Neutral,,6,5,5,,Summon: Illusory Mimic gains all Keywords that the top three cards of your deck have.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Imbued Argonian,LG-card-Imbued Argonian.png,Moons of Elsweyr,vG,Creature,Argonian,Common,Endurance,,1,1,3,,"Guard When Imbued Argonian is Consumed, give the consuming creature +1/+1 and Guard.",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imbued Bosmer,LG-card-Imbued Bosmer.png,Moons of Elsweyr,vH,Creature,Wood Elf,Common,Agility,,1,1,1,,"Lethal When Imbued Bosmer is Consumed, give the consuming creature +1/+1 and Lethal.",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imbued Breton,LG-card-Imbued Breton.png,Moons of Elsweyr,vI,Creature,Breton,Common,Intelligence,,5,4,4,,"Ward When Imbued Breton is Consumed, give the consuming creature +1/+1 and Ward.",,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Imbued Khajiit,LG-card-Imbued Khajiit.png,Moons of Elsweyr,vF,Creature,Khajiit,Common,Willpower,,3,2,4,,"Drain When Imbued Khajiit is Consumed, give the consuming creature +1/+1 and Drain.",,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imbued Minotaur,LG-card-Imbued Minotaur.png,Moons of Elsweyr,vE,Creature,Minotaur,Common,Strength,,3,5,2,,"Breakthrough When Imbued Minotaur is Consumed, give the consuming creature +1/+1 and Breakthrough.",,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Immolating Blast,LG-card-Immolating Blast.png,Core,iF,Action,,Epic,Willpower,,6,,,,Destroy all creatures except for one random creature on both sides of each lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Armor,LG-card-Imperial Armor.png,Core,iG,Item,,Common,Endurance,,3,,,,+0/+6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Camp,LG-card-Imperial Camp.png,Heroes of Skyrim,iH,Support,,Rare,Willpower,,4,,,Ongoing,Summon: Put a 1/2 Septim Guardsman with Guard into your hand. Friendly Guards have +1/+0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Imperial Lackey,LG-card-Imperial Lackey.png,Alliance War,sC,Creature,Imperial,Rare,Endurance,,2,2,2,,"Last Gasp: If you have another creature on each lane, summon a 1/1 Recruit in each lane.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Legionnaire,LG-card-Imperial Legionnaire.png,Core,iI,Creature,Imperial,Common,Willpower,,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Might,LG-card-Imperial Might.png,Core,iJ,Support,,Epic,Willpower,,5,,,Ongoing,"At the end of your turn, summon a 1/1 Imperial Grunt.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Reinforcements,LG-card-Imperial Reinforcements.png,Core,iK,Action,,Rare,Willpower,,4,,,,Fill a lane with 1/1 Imperial Grunt Imperial Grunts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial Siege Engine,LG-card-Imperial Siege Engine.png,Core,iL,Creature,Imperial,Rare,Willpower,,5,3,3,,Summon: +1/+1 for each other friendly creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Imposter's Mission,LG-card-Imposter's Mission.png,Houses of Morrowind,iM,Action,,Epic,Strength,,4,,,,Summon an Imposter with power and health equal to the power of your most powerful creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imprison,LG-card-Imprison.png,Core,iN,Action,,Rare,Willpower,,2,,,,"Shackle a creature. If you have four or more Willpower creatures, destroy it instead.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Imprisoned Deathlord,LG-card-Imprisoned Deathlord.png,Core,iO,Creature,Skeleton,Epic,Endurance,,4,7,7,,"When an enemy creature is summoned, Shackle Imprisoned Deathlord.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Improvised Weapon,LG-card-Improvised Weapon.png,Core,iP,Item,,Rare,Strength,,0,,,,Breakthrough+1/+1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indomitable Ordinator,LG-card-Indomitable Ordinator.png,Houses of Morrowind,iQ,Creature,Dark Elf,Epic,Endurance,,5,5,5,,Guard Exalt 1: Your opponent can't target Indomitable Ordinator with actions.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoril Archmage,LG-card-Indoril Archmage.png,Core,iR,Creature,Dark Elf,Legendary,Intelligence,,8,6,6,,Guard Last Gasp: Deals 6 damage to all enemy creatures in this lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoril Mastermind,LG-card-Indoril Mastermind.png,Houses of Morrowind,iS,Creature,Dark Elf,Rare,Endurance,,3,2,1,,Summon: Draw a card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Innkeeper Delphine,LG-card-Innkeeper Delphine.png,Heroes of Skyrim,iV,Creature,Breton,Legendary,Endurance,,3,2,3,,"After you play a Dragon or Shout, Innkeeper Delphine changes into Grandmaster Delphine.",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Insightful Scholar,LG-card-Insightful Scholar.png,Heroes of Skyrim,iW,Creature,High Elf,Rare,Intelligence,,5,2,3,,Prophecy Summon: Draw a card for each card your opponent drew this turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Inspiring Kinsman,LG-card-Inspiring Kinsman.png,Houses of Morrowind,iX,Creature,Dark Elf,Epic,,House Redoran,4,3,4,,Rally 2 Last Gasp: Give a random creature in your hand +2/+2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Inspiring Soldier,LG-card-Inspiring Soldier.png,Alliance War,tu,Creature,Dark Elf,Common,Agility,,2,3,2,,Veteran: Summon a 1/1 Recruit.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Inspiring Stormcloak,LG-card-Inspiring Stormcloak.png,Heroes of Skyrim,iY,Creature,Nord,Common,Strength,,4,2,2,,Last Gasp: Summon a 2/2 Rallying Stormcloak in each lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intimidate,LG-card-Intimidate.png,Core,iZ,Action,,Rare,Strength,,1,,,,Enemy creatures lose Guard.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasion Marauder,LG-card-Invasion Marauder.png,Jaws of Oblivion,xn,Creature,Daedra,Common,Willpower,,3,3,3,,Summon: Invade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Invasion Party,LG-card-Invasion Party.png,Jaws of Oblivion,yE,Action,,Legendary,Willpower,,4,,,,Choose three times: Invade or summon a 1/1 Scamp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasion Scout,LG-card-Invasion Scout.png,Jaws of Oblivion,xm,Creature,Daedra,Common,Strength,,1,1,1,,Summon: Invade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Invasion Vanguard,LG-card-Invasion Vanguard.png,Jaws of Oblivion,xl,Creature,Daedra,Common,Intelligence,,2,1,4,,Summon: Invade.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Invoker of the Hist,LG-card-Invoker of the Hist.png,Alliance War,uy,Creature,Argonian,Legendary,Agility,,6,3,6,,Veteran: Restore your magicka.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Iron Atronach,LG-card-Iron Atronach.png,Core,ja,Creature,Daedra,Legendary,Endurance,,12,12,12,,"Breakthrough, Guard, Regenerate Your opponent can't target Iron Atronach with actions.",,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Ironscale Dragon,LG-card-Ironscale Dragon.png,Heroes of Skyrim,jb,Creature,Dragon,Common,Endurance,,7,7,7,,Regenerate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
J'zargo,LG-card-J'zargo.png,Heroes of Skyrim,jc,Creature,Khajiit,Legendary,Intelligence,,4,3,4,,Summon: Put an Experimental Scroll into your hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Jarl Balgruuf,LG-card-Jarl Balgruuf.png,Heroes of Skyrim,jd,Creature,Nord,Legendary,Willpower,,7,3,3,,"Summon: Summon a Stormcloak Skirmisher in the left lane and a Kvatch Soldier in the right lane. At the start of your turn, if your lanes are full, you win the game.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Jauffre,LG-card-Jauffre.png,Jaws of Oblivion,xC,Creature,Breton,Legendary,Willpower,,5,3,9,,Summon: Choose another friendly creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,
Jerall Forager,LG-card-Jerall Forager.png,Basic Card,je,Creature,Nord,Common,Strength,,2,2,2,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiub,LG-card-Jiub.png,Houses of Morrowind,jf,Creature,Dark Elf,Legendary,Neutral,,1,1,1,,"Slay: Change into Saint Jiub Saint Jiub, Eradicator of the Winged Menace.",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Jorunn the Skald-King,LG-card-Jorunn the Skald-King.png,Alliance War,tw,Creature,Nord,Legendary,,Ebonheart Pact,5,5,5,,Immune to Silence. Friendly creatures cost 1 less. Enemy non-creatures cost 1 more.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
Jorunn's Vanguard,LG-card-Jorunn's Vanguard.png,Alliance War,tx,Creature,Nord,Rare,Strength,,5,4,4,,Veteran: +2/+2 and give the top creature of your deck +2/+2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Journey to Sovngarde,LG-card-Journey to Sovngarde.png,Heroes of Skyrim,jg,Action,,Legendary,Neutral,,7,,,,"Shuffle all creatures from your discard pile into your deck, and give them +5/+5.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jyggalag's Incursion,LG-card-Jyggalag's Incursion.png,Isle of Madness,jh,Action,,Rare,Endurance,,3,,,,Prophecy Each player gains +2 max magicka.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kaalgrontiid,LG-card-Kaalgrontiid.png,Moons of Elsweyr,vY,Creature,Dragon,Legendary,Willpower,,12,8,9,,Guard Summon: Summon the Halls of Colossus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Kagouti Fabricant,LG-card-Kagouti Fabricant.png,Clockwork City,ji,Creature,Fabricant,Common,Willpower,,4,3,3,,"Summon: If you have a Neutral card in play, summon a Kagouti Fabricant in the other lane.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Karthspire Scourge,LG-card-Karthspire Scourge.png,Heroes of Skyrim,jj,Creature,Dragon,Rare,Willpower,,5,4,4,,Summon: Give all enemy creatures in this lane -1/-0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Karthspire Scout,LG-card-Karthspire Scout.png,FrostSpark Collection,jk,Creature,Orc,Rare,Endurance,,1,1,1,,Last Gasp: Draw a card and increase its cost by 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keeper of the Gates,LG-card-Keeper of the Gates.png,Jaws of Oblivion,xL,Creature,Nord,Epic,Strength,,6,6,6,,"When you Invade, Invade again.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Keeper of Whispers,LG-card-Keeper of Whispers.png,Core,jl,Creature,Redguard,Epic,Intelligence,,3,3,4,,Other friendly creatures are immune to Silence.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,
Khajiiti Warhelm,LG-card-Khajiiti Warhelm.png,Moons of Elsweyr,wu,Item,"",Rare,Intelligence,,2,,,,+1/+3 Summon: The wielder deals 1 damage to your opponent.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Khamira,LG-card-Khamira.png,Moons of Elsweyr,wW,Creature,Khajiit,Legendary,,Monk,5,5,6,,Pilfer: Give Khajiit in your deck +1/+1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khuul Lawkeeper,LG-card-Khuul Lawkeeper.png,Houses of Morrowind,jm,Creature,Dark Elf,Rare,Willpower,,3,1,6,,"Guard, Rally",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Knife to the Throat,LG-card-Knife to the Throat.png,Dark Brotherhood,jn,Action,,Common,Neutral,,4,,,,Silence a creature. Draw a card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
Knight of Gnisis,LG-card-Knight of Gnisis.png,Houses of Morrowind,jo,Creature,Dark Elf,Epic,Endurance,,3,2,3,,Rally Summon: Put a 2/2 Colovian Trooper with Guard into your hand.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Knight of Order,LG-card-Knight of Order.png,Isle of Madness,jp,Creature,Daedra,Rare,Endurance,,4,2,2,,Summon: Silence all other creatures in this lane.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,
Knight of the Hour,LG-card-Knight of the Hour.png,Dark Brotherhood,jq,Creature,Imperial,Common,Willpower,,5,3,3,,"Prophecy, Guard Summon: You gain 3 health.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Knowledge Plagiarist,LG-card-Knowledge Plagiarist.png,Dawnguard,"",Creature,Dark Elf,Rare,Agility,,4,1,2,,Summon: Knowledge Plagiarist steals an item from your opponent's discard pile and equip it.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Kvatch Soldier,LG-card-Kvatch Soldier.png,Core,jr,Creature,Imperial,Common,Willpower,,2,2,3,,Guard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwama Queen,LG-card-Kwama Queen.png,Houses of Morrowind,js,Creature,Kwama,Epic,Willpower,,5,4,4,,Plot: Summon a 1/1 Kwama Forager in each lane. Other friendly Kwama have +1/+0.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Kynreeve Champion,LG-card-Kynreeve Champion.png,Jaws of Oblivion,yA,Creature,Daedra,Legendary,Strength,,4,4,3,,"When Kynreeve Champion takes damage, it deals that much damage to your opponent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Laaneth,LG-card-Laaneth.png,Clockwork City,jt,Creature,Dark Elf,Legendary,Intelligence,,9,6,6,,Summon: Draw a card of your choice from your deck.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Lady Syl's Cruelty,LG-card-Lady Syl's Cruelty.png,Isle of Madness,jv,Action,,Rare,Agility,,2,,,,Sacrifice a creature to gain magicka this turn equal to its power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Lame Corprus,LG-card-Lame Corprus.png,Houses of Morrowind,jw,Creature,Ash Creature,Common,Intelligence,,6,5,6,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Land Divided,LG-card-A Land Divided.png,Heroes of Skyrim,aa,Action,,Legendary,Willpower,,8,,,,Fill the left lane with Stormcloak Skirmisher Stormcloak Skirmishers or the right lane with Colovian Trooper Colovian Troopers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lay Down Arms,LG-card-Lay Down Arms.png,Heroes of Skyrim,jx,Action,,Rare,Endurance,,4,,,,Set a creature's power and health to 1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leaflurker,LG-card-Leaflurker.png,Core,jy,Creature,Wood Elf,Epic,Agility,,5,4,3,,Summon: Destroy a Wounded creature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1
Leafwater Blessing,LG-card-Leafwater Blessing.png,Core,jA,Action,,Epic,Agility,,2,,,,"Give a creature +1/+1. When you gain health, draw Leafwater Blessing from your discard pile.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legate Rikke,LG-card-Legate Rikke.png,Heroes of Skyrim,jB,Creature,Imperial,Legendary,Willpower,,4,3,4,,"When you summon an Imperial, summon a 1/1 Imperial Grunt in the other lane.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Legion Praefect,LG-card-Legion Praefect.png,Core,jC,Creature,Imperial,Common,Willpower,,7,4,4,,Summon: Give other friendly creatures +1/+1.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Legion Shield,LG-card-Legion Shield.png,Core,jD,Item,,Rare,Willpower,,2,,,,Guard+1/+3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legion Zero Templar,LG-card-Legion Zero Templar.png,Alliance War,tA,Creature,Imperial,Common,Willpower,,4,2,5,,"Guard Summon: If you have another creature in each lane, +0/+3.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Lesser Ward,LG-card-Lesser Ward.png,Core,jE,Action,,Common,Intelligence,,0,,,,Give a creature a Ward.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Lich's Ascension,LG-card-Lich's Ascension.png,Houses of Morrowind,jF,Support,,Legendary,Endurance,,7,,,Ongoing,Your cards cost 0. You may play only one card per turn.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Light of the Three,LG-card-Light of the Three.png,Houses of Morrowind,jG,Creature,Dark Elf,Epic,Willpower,,5,4,4,,Exalt 2: Give other friendly creatures in this lane +2/+2.,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Bolt,LG-card-Lightning Bolt.png,Core,jH,Action,,Common,Intelligence,,4,,,,Prophecy Deal 4 damage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lillandril Hexmage,LG-card-Lillandril Hexmage.png,Core,jJ,Creature,High Elf,Common,Intelligence,,5,5,4,,"After you play an action, deal 1 damage to your opponent.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Lion Guard Armaments,LG-card-Lion Guard Armaments.png,Alliance War,tF,Item,,Common,Intelligence,,5,,,,Mobilize+3/+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lion Guard Strategist,LG-card-Lion Guard Strategist.png,Core,jK,Creature,Breton,Epic,Endurance,,4,2,3,,"When you summon another creature in this lane, give it a Ward.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
